a bad lot,калпазанин
parenthood,бащинство/майчинство
pariah,парий
parish,община/енория/енорийски/общински
parity,равенство/аналогия
park,парк/гарирам/ограждам
parking,паркиране/гариране
parley,преговори/водя преговори
parliament,парламент
parlour,салон/гостна/приемна
parochial,енорийски/тесногръд/провинциален
parole,парола/честна дума
paroxysm,припадък
parquet,паркет
parricidal,отцеубийствен/провинен в измяна на отечеството
parricide,отцеубийство/отцеубиец
-1
parsimonious,пестелив
parsimony,пестеливост
parsley,магданоз
parsnip,пащърнак
parson,свещеник
part,част/дял/роля/участие/разделям/донякъде
partake,участвам/вземам(пия)от/споделям
partaker,участник
parti-coloured,разноцветен
partial,частичен/пристрастен
partiality,пристрастие/склонност
participant,участник
participate,участвам
participation,участие
participle,причастие
particle,частица
particular,частен/специален/особен
particularity,особенност
particularly,особено
parting,раздяла/път на коса
partisan,привърженик/партизанин/пристрастен
partition,деление/подялба/част/преграда/деля
partner,съдружник/участник/сдружавам
partnership,съдружие
partrige,яребица
parts,край(на страна)
party,партия/група/забава/страна/партиен
pass,минавам/подавам/пускам/пропуск/минаване
pass oneself as,представям се за
passable,сносен/проходим
passage,коридор/пасаж/преход/път
passawey,умирам
passenger,пътник
passer-by,минувач
passingly,мимоходом
passion,страст
passionate,страстен
passionless,безстрастен
passive,пасивен/страдателен
passport,паспорт
password,парола
past,след/минало/по-късно от/минал/покрай
past mending,непоправим/покрай
paste,тесто/лепило/залепям
pasteboard,картон
pastime,развлечение/забавление
pastor,свещеник/пастор
pastry,пасти/сладкиши
pastry-cook,сладкар
pastry-shop,сладкарница
pasture,пасище/паша/паса
pasty,пастет/тестян/бледен
pat,потупване/потупвам/навреме/веднага
patch,кръпка/петно/парче/кърпя
patch up,скърпвам/изглаждам(спор)
patchwork,кърпеж/черга от парцали
patchy,нееднакъв/случаен
patent,патент/патентовам/явен/открит
patent leather,лачена кожа
paternal,бащински
paternity,бащинство
path,пътека/път/траектория
pathetic,трогателен/смешен/патетичен
pathless,непроходим
pathway,пътека
patience,търпение/упоритост
patient,пациент/търпелив/упорит
patrimony,бащиния/наследство
patriot,патриот
patriotic,патриотичен
patriotism,патриотизъм
patrol,патрул/патрулирам
patron,покровител/патрон/клиент
patronage,покровителство
patronize,покровителствам
patronizing,покровителствен/снизходителен
patten,налъм/основа на колона
patter,ситня/почуквам/бърборя/жаргон
pattern,модел/образец/мостра/следвам примера на
patterned,шарен/с шарки
paucity,малочисленост/оскъдност
paunch,шкембе/търбух
pauper,бедняк
pause,пауза/спирам/правя пауза
pave,павирам/паваж/настилка
pavement,паваж/тротоар
pavilion,павилион
paw,лапа/ровя с копито
pawn,пионка/залог/залагам
pay,плащам/заплата/плащане
pay attention on,обръщам внимание на
pay back,връщам/отплащам/отвръщам
pay doun,плащам в брой
pay for,изплащам(нещо купено)
pay in,внасям пари по сметка
pay obeisance,изразявам почит
pay off,разплащам се с/уволнявам
pay off a score,очиствам сметки
pay one's way,рентирам се
pay out,отпускам/охлабвам(въже)
pay regard to,обръщам внимание
pay the piper,тегля разноските
pay up,изплащам
pay-day,ден в който се плаща
pay-office,каса
pay-sheet,платежна възможност
payee,предявител
paymaster,касиер/ковчежник
payment,заплащане/възнаграждение
pea,грахово зърно
peace,мир/покой/спокойствие
peace-lover,привърженик на мира
peaceful,мирен/спокоен
peach,праскова/доноснича
peacock,паун/надувам се като паун
peak,връх/най-висок/максимален/слабея
peaked,островърх
peaked cap,фуражка
peal,звън/гръм/звънтя
peanut,фъстък
pear,круша
pearl,перла/бисер/обшивам с бисери
peas,грах
peasant,селянин/селски
peat,торф
pebble,камъче
peck,кълва/клъвване
pectoral,гръден
peculate,присвоявам си обществени пари
peculiar,особен/характерен/привилегия
peculiarity,особеност
pedal,педал/натискам педалите/крачен
peddle,продавам амбулантно
pedestrian,пешеходец/пешеходен/прозаичен
pedigree,родословие
pedlar,уличен продавач/сергиджия
peel,беля/кора
peep,надничам/явявам се/надничане/цвърча
peep out,показвам се
peep-hole,дупка/пролука
peer,взирам се/надничам/пер/равен/равнявам се
peerage,перове/ранг на пер
peerless,несравним/безподобен
peeve,ядосвам/разсърдвам
peevish,свадлив/опак
peg,закачалка/клечка/щипки/прикрепвам
peg doun,заковавам
pegawey,работя упорито
pell-mell,без ред/безразборно
pellet,топчица/сачма
pelt,кожа(заедно с вълната)/удрям/пердаша/обстрелвам
pelting,проливен
pelvis,таз
pen,перо/писалка/писане/стил/кошара/затварям
pen-name,псевдоним
penal,наказателен/углавен/наказуем
penalize,наказвам/поставям в неудобно положение
penalty,наказание/санкция
penance,изкупление/самоналожено наказание
pence,пени
pencil,молив/четка/пиша с молив/оцветявам
pendant,висулка/висящ/в очакване на/докато
pending,висящ
pendulum,махало
penel servitude,каторга
penetrate,прониквам
penetrating,проницателен
penetration,проникване
penetrative,проникващ
penholder,перодръжка
peninsula,полуостров
penitence,покаяние
penitent,покаял се грешник
penitential,който се отнася до
penitentiary,изправителен дом
penknife,ножке
penny,пени/дребни пари
pennyless,безпаричен/без пет пари
pennyworth,който струва едно пени
pension,пенсия/пенсионирам
pension off,пенсионирам се
pensionary,пенсионен
pensioner,пенсионер
pensive,замислен
pent up,насъбран/накипял
penthouse,навес/сушина
penumbra,полусянка
penury,крайна бедност
peony,божур
people,хора/народ/населявам
pepper,пипер/чушка/посипвам с пипер
peppermint,мента
peppery,пеперлия
per,на/по/през/с
per cent,процент/на сто
peradventure,случайно/може би
perambulator,детска количка
perceive,разбирам/схващам
percentage,процент
perception,възприемане/усещане
perceptive,възприемчив
perceptivity,възприемчивост
perch,кацвам
perchance,може би
percolate,прецеждам се
percolation,прецеждане
percussion,удар
percussive,ударен
perdition,гибел
peregrinate,странствам
peremptory,безапелационен/категоричен
perennial,вечен/многогодишен
perfect,съвършен/цял/пълен/усъвършенствам
perfection,съвършенство
perfectly,напълно/съвършено
perfidious,вероломен
perfidy,вероломство
perforate,продупчвам/перфорирам
perforce,необходимост/по неволя
perform,изпълнявам/извършвам
performance,изпълнение/представление
performer,изпълнител
performing,дресиран
perfume,парфюм/аромат/парфюмирам
perfunctory,повърхностен
perhaps,може би/възможност
peril,опасност/риск/излагам на опасност
perilous,опасен
period,период/край
periodic,периодичен
perish,загивам
perishable,тленен/който подлежи на загиване(умиране)
periwing,перука
periwinkle,зеленика
perjure,лъжесвидетелствам/нарушавам клетвата си
perjurer,клетво престъпник
perjury,лъжесвидетелстване
perky,наперен
permanence,неизменност
permanency,постоянство
permanent,постоянен/дълготраен
permeability,промокаемост/пропускливост/магнитна проницаемост
permeable,промокаем
permeate,прониквам в/разпространявам се из/напоявам
permissible,позволен/допустим
permission,разрешение
permit,разрешавам/разрешение
pernicious,гибелен/вреден
pernickety,придирчив/деликатен
peroration,заключение
perpetual,вечен
perpetuate,увековечавам
perplex,обърквам/смущавам
persecute,преследвам/гоня
persecution,преследване
persecutor,преследвач
persevere,упорствам/постоянствам
persevering,упорит/настойчив
persist,настоявам/упорствам
persistent,настойчив/упорит/твърд
person,лице/човек/външност
personage,действащо лице
personal,личен
personality,личност/индивидуалност
personally,лично
personate,играя ролята на
personify,олицетворявам
personnel,персонал/личен състав
perspicacioys,проницателен
perspicuous,ясен/разбираем
perspiration,пот
persuade,убеждавам
persuasion,убеждение
pert,дързък
pertain to,принадлежа/спадам/отнасям се
pertinacious,упорит
pertinence,уместност
perturb,вълнувам/обезпокоявам
perturbation,вълнение
peruse,чета/прелиствам
pervade,обхващам/разпространявам се из
pervasion,разпространение
pervasive,проникващ
perverse,опак/своенравен/капризен/лош/раздразнителен/несправедлив
perversion,опакост/извращение/своенравност
perversity,извратеност
pervert,извращавам/изкривявам/изопачавам/извратен човек
pervious,проходим/податлив/пропускащ/промокаем
pest,напаст/паразит/чума
pestiferous,вреден/заразен
pestilence,чума/епидемия
pestilent,досаден/смъртоносен
pestilential,чумен/заразен
pet,любимо животно/галеник/обичен/галя
petition,молба/петиция/подавам молба
petrel,буревестник
petrifaction,вкаменяване/вкаменелост
petrify,вкаменявам се
petrol,бензин
petroleum,нефт
petticoat,фуста
petty,дребен/незначителен/дребнав
petulance,сприхавост
phase,фаза
pheasant,фазан
phenomenon,явление/феномен
phial,стъкленица
philander,флиртувам
philanderer,кокетка/донжуан
philosopher,философ
philosophy,философия
phone,звук/телефон/телефонирам
phonetic,фонетичен
photo,снимка/фотографирам
photograph,снимка/снимам
photographer,фотограф
photography,фотография
phrase,фраза/изразявам
phrenetic,яростен
physic,лекарство
physical,физически
physician,лекар
physicist,физик
physics,физика
physique,физика/телосложение
pianist,пианист
piano,пиано
pick,бера/избирам/чопля/бране/кирка
pick a quarrel,търся да се карам
pick holes in,намирам недостатъци в
pick out,избирам/изваждам/откривам
pick up,вземам/вдигам/късам
pick-a-back,на гръб
pickaxe,кирка/търнокоп
picker,мотика
picket,кол/преден пост
pickle,саламура/туршия/правя трушия
pickpocket,джебчия
picnic,пикник/правя пикник
pictorial,картини/изобразителен/илюстровано списание
picture,картина/снимка/изглед/изобразявам
picture-gallery,картинна галерия
picturesque,живописен/жив
pie,баница/сладкиш/сврака
piebald,шарен
piece,парче/къс/част/съединявам
piecemeal,едно по едно
piecework,работа на парче
pier,вълнолом/опора
pierce,прониквам/пронизвам
piercing,пронизителен
piety,благочестие
pig,прасе/свиня
pig-headed,упорит
pigeon,гълъб/измамвам
piggery,свинарник/кочина
piggish,свински
pigsty,кочина/свинарник
pigtail,плитчица
pike,копие/щука
pile,куп/трупам/кол/забивам
pilfer,обирам/отмъквам
pilferage,дребна кражба
pilferer,крадец на дребно
pilgrim,поклонник/странник
pilgrimage,поклонничество/странстване
pill,хапче
pillage,грабеж/ограбвам
pillar,стълб/колона/подпирам с колони
pillory,позорен стълб/поставям на позорен стълб
pillow,възглавница за спане
pillow case,калъф за възглавница
pillow-case,калъфка за възглавница
pillow-slip,калъфка за възглавница
pilot,пилот/пилотирам
pimp,сводник
pimple,пъпка на кожата
pimpled,изприщен/пъпчив
pin,карфица/забождам
pincers,клещи/пинсети
pinch,щипя/ощипвам/стискам/ощипвам
pine,бор/чамов/чезна/копнея
pine-apple,ананас
pinion,зъбно колело
pink,розов/карамфил
pinnacle,куличка/връх
pint,пинта(0.56 литра)
pioneer,пионер/пионерски/проправям
pious,набожен/благочестив
pip,семка(от ябълка)
pipe,тръба/лула/свирка/свиря
pipe-line,тръбопровод
piping,тръби
piping hot,топъл-топъл
pirate,пират/плагиатор
pistol,пистолет/стрелям
piston,бутало
pit,дупка/яма/партер/надупчвам/поставям в яма/костилка
pitch,смола/катран/насмолявам/височина/степен/настанявам
pitch into,нахвърлям се върху
pitch on,спирам се на/избирам
pitchdark,тъмно като в рог
pitcher,кана
pitchfork,вила/хвърлям с вила
piteous,жалък
pitfall,клопка/вълча яма
pith,сърцевина/същина/енергия
pithy,милост/състрадание
piti-ful,състрадателен
pitiable,жалък
pitiless,безжалостен
pity,жалост/милост/съжалявам
pivot,ос
pivotal,основен
placability,благодушие
placable,благодушен
placard,плакат/афиш
place,място/местност/къща/поставям
placid,спокоен/мирен/невъзмутим
plagiarism,плагиатство
plague,напаст/чума/тормозя
plain,равнина/ясен/прост/обикновен/откровен/поле/равнина
plain dealing,откровеност
plain-spoken,откровен
plaint,иск/жалба
plaintiff,ищец
plaintive,жален
plait,плитка/сплитам
plan,план/планирам
plane,плоскост/самолет/плосък/ренде/изравнявам
plane down,рендосвам
planet,планета
plank,дъска
plant,растение/завод/садя/поставям
plantation,плантация
plash,пляскам/пляскане
plaster,мазилка/пластир/мажа/слагам пластир
plastik,пластмаса/пластичен/от пластмаса
plastikity,пластичност
plat-glass,дебело стъкло за витрини
plate,чиния/плоча/пластинка
plate-layer,кантонер
plateau,плато
plateful of,пълна чиния
platform,перон/платформа
platitude,баналност
platitudinous,банален/плосък
platoon,взвод
platter,дъска за хляб
plaudit,ръкопляскане/хвалебствие
plausible,правдоподобен
play,играя/свиря/игра/пиеса
play a trick,погаждам
play hooky,безделнича/бягам от училище
playbill,театрален афиш(програма)
playday,неработен ден
player,играч/актьор/свирач
playfair,постъпвам честно
playfoul,постъпвам нечестно
playful,игрив
playgoer,човек който ходи често на театър
playground,игрише
playmate,партньор
plaything,играчка
playwright,драматург
plea,молба/апел/довод
plead,моля/апелирам/пледирам
pleading,защита
pleasant,приятен
pleasantry,шега
please,моля/задоволявам/искам
pleasurable,приятен
pleasure,удоволствие/доставям удоволствие
pledge,клетва/обет/залог/залагам
plenary,пълен/пленарен
plentiful,обилен/достатъчно
plenty,изобилие/обилен/много/напълно
pleura,плевра
pleurisy,плеврит
pliability,гъвкавост
pliable,гъвкав/податлив
pliers,клещи
plimsolls,гуменки
plot,къс земя/чертеж/заговор/разпределям/заговорнича
plotter,интригант
plough,рало/плуг/ора
ploughman,орач
ploughshare,палешник
pluck,бера/късам/дръпване/смелост
plucky,смел
plug,запушалка/щепсел/запушвам
plug in,слагам контакт
plum,слива/стафида
plumage,перушина
plumb,отвес/лот/отвесен/равен/измервам дълбочина на
plumber,водопроводчик
plumbing,водопроводна инсталация
plume,перо/украсявам с перо
plump,пълничък/закръглен/решителен/цопвам/внезапно
plunder,ограбвам/плячка/грабеж
plunge,гмуркам се/потапям се/потапяне
plural,множествено число/множествен
plurality,множествен
plus,плюс
ply,пласт/кат/тенденция
plywood,шперплат
poach,варя яйца/бракониерствам
pocket,джоб/слагам в джоба си
pocketbook,бележник/портфейл/слагам в джоба си/скривам чувства
pocketfull,пълен джоб
pocketmoney,пари за харчене
pod,чушка/семенник
podgy,набит
poem,поема/стихотворение
poet,поет
poetry,поезия
poignancy,острота
poignant,остър/жив/мъчителен
point,точка/въпрос/връх/смисъл/посочвам
point at,соча/показвам
point out,изтъквам/подчертавам
point to,натъртвам/соча
point-blank,решителен
point-duty,дежурство/на пост
pointed,заострен/подчертан
pointer,показалец/указател
pointful,уместен
pointless,безсмислен
pointsman,стрелочник
poise,уравновесявам/равновесие/спокойствие
poison,отрова/тровя
poke,ръгам/тикам/меся се/мушване
poker,ръжен/покер
poky,тесен/сбутан/дребен
polarity,полярност/противоположност
pole,стълб/прът/полюс
police,полиция/полицейски
policeman,полицай
policy,политика/далновидност/полица
polish,лъскам/полирам/боя за обувки
polite,учтив/изискан
politic,политичен/ловък/хитър/изпечен/умен
political,политически
politician,политик
politics,политика
poll,избирателен списък/брой на гласове/гласувам
pollen,цветен прашец
pollute,замърсявам
pollution,замърсяване
poltroon,страхливец
polysyllable,многосрична дума
pomegranate,нар
pomp,великолепие
pomposity,пищност/надутост
pompous,пищен/надут
pond,изкуствено езеро/басейн
ponder,обмислям/размишлявам
pony,пони
pool,басейн/вир/подкопавам/сдружаване/сдружавам се
poor,беден/оскъден/слаб
poor thing,горкият
poordevil,сиромах
poorly,болен/лошо/слабо
poorness,бедност/недостатъчност/слабост
pop,изгърмявам/пуквам/пукот/изстрел/шумно
pop-corn,пуканки/подавам/показвам се
pope,поп/папа
poplar,топола
poppy,мак
populace,масите/простолюдие
popular,популярен/народен
popularity,популярност
populate,населявам
population,население
porch,предверие/веранда
porcupine,таралеж
pore,пора/шупла/обмислям/задълбочавам се
pore over,навеждам се над книга
pork,свинско месо
porker,шопар
porridge,овесена каша
porrindger,купа/паница
port,пристанище/портвайн
portable,портативен/преносим
portend,предвещавам
portent,предзнаменование/поличба
portentous,знаменателен/многозначителен/тържествен/зловещ
porter,носач/портиер
portfolio,папка/портфейл
portion,част/дял/деля
portliness,снажност
portly,снажен/едър/представителен/солиден
portmanteau,куфар
portrait,порт/изображение
portraiture,описание
posh,докаран/издокаран/елегантен/разкошен
position,положение/място/длъжност/слагам на място
positive,положителен/сигурен/творчески
possess,притежавам/владея
possession,притежание/владение
possessive,притежателен/собственически
possessor,притежател
possibility,възможност
possible,възможен
post,поща/изпращам по пощата/стълб/длъжност/назначавам
post meridiem,следобед(от 12 до 24)
post-graduate,аспирант
post-mortem,аутопсия
post-office,пощенска станция
post-war,следвоенен
postage,пощенски разноски
postcard,пощенска картичка
poster,афиш/плакат
posterior,заден
posterity,потомство
posthumous,посмъртен
posthumously,посмъртно
postman,пощаджия
postmaster,началник на поща
postpaid,предплатени пощенски разноски
postpone,отлагам
postulate,изисквам като предварително условие
posture,поза/положение
pot,гърне/тенджера/саксия/консервирам/садя
potato,картоф
potency,могъщество
potent,могъщ
potentate,властелин
potential,скрит/възможен/възможност
potentiality,възможхост
potter,грънчар
pouch,кесия/торбичка
poult,пиле
poultry,домашни птици
pounce,нокът на хищна птица/понсирам
pounce on,нахвърлям се/скачам/скоквам/спускам се върху
pound,фунт(0.45кг)/лира/удрям/бия/чукам/удар
pour,изливам/лея се/порой
pouring,проливен
pout,цупя се
pouter,мърморко
poverty,бедност
powder,прах/пудра/барут/поръсвам
power,сила/власт/енергия/способност
powerful,могъщ/силен/много
powerless,безсилен
pox,шарка
pprobrious,оскърбителен/срамен/позорен
pprobrium,упрек/презрение/позор
practicable,осъществим/проходим
practical,практичен/практически
practically,същност/почти/практически
practice,практика/обичай/практикувам
practise,практикувам/упражнявам се
prairie,прерия
praise,хваля/похвала
prance,изправям се на задните си крака(за кон)
prate,дърдоря/бъбря/клюкарствам/бъбрене
prattle,бърборя/бърборене
prawn,голяма скарида
pray,моля се
prayer,молитва/молба
pre-eminent,превъзходен
pre-war,довоенен
preach,проповядвам
preamble,предисловие
precarious,случаен/класически
precaution,предпазна мярка/предпазливост
precede,предшествам
preceptor,наставник
preciosity,изтънченост
precious,ценен/скъп
precipice,пропаст
precipitance,стремителност
precipitate,хвърлям стремително/запращам/ускорявам
precipitation,стремителност
precipitous,стръмен
precise,точен/определен
precision,точност
precocious,преждевременно развит
precursor,предтеча
predacious,хищен
predatory,граблив/хищен
predecessor,предшественик
predestine,предопределям
predicate,твърдя/казвам/сказуемо
predict,предсказвам
predilection for,пристрастие/склонност
predominance,надмощие/преобладаване
predominate,господствам/имам надмощие
preface,предговор
prefer,предпочитам
preferable,за предпочитане
preference,предпочитание
preferential,изгоден
prefix,представка
pregnancy,бременност
pregnant,бременна/съдържателен/с важни последици
prejudice,предразсъдък/предубеждавам
preliminary,предварителен/увод
prelude,встъпление/прелюдия
premature,преждевременен
premeditated,преднамерен
premeditation,преднамереност
premier,министър-председател
premonition,предупреждение/предчувствие
prentice,чирак
preparation,подготовка/препарат
preparative,подготвителен
prepare,подготвям(се)/готвя(се)
preponderant,преобладаващ
preponderate,превишавам/превъзхождам
preposition,предлог
prepositional,предложен
prepossess,предразполагам
prerogative,изкючително право/прерогатив
pres out,изтисквам
prescribe,предписвам
prescription,предписване/рецепта
presence,присъствие/вид/държане
present,присъстващ/настояще/подарък/подарявам
presentation,представяне
presentiment,предчувствие
presently,скоро/след малко
preservation,запазване
preservative,предпазен
preserve,запазвам/консервирам/сладко/резерват
preside,председателствам
president,председател/президент
press,натискам/гладя/натискане/преса/печат
press on,бързам/подтиквам
pressure,натиск/налягане/упражнявам натиск
pressure-gauge,манометър
prestige,престиж
presumably,навярно/както изглежда
presume,допускам/предполагам
presuming,самонадеян/нагъл
presumption,вероятност/предположение
presumptive,предполагаем
presuppose,предполагам
pretence,преструвки/предлог/претекст
pretend,претендирам/преструвка/предлог/претекс
pretension,претенция
preternatural,необикновен/неестествен
pretext,предлог/извинение
pretty,хубав/приятен/доста
prevail,надделявам/побеждавам
prevalence,преобладаване
prevalent,преобладаващ
prevaricate,извъртам
prevarication,извъртане
prevaricator,лъжец/човек който обича да извърта
prevent,предотвратявам/преча
preventive,предпазен
previous,предишен/предварителен/прибързан
previously,предварително
prey,плячка/жертва/ограбвам/измамвам
prey on,ловя/ограбвам/измамвам/използувам/измъчвам
price,цена/оценявам
priceless,безценен
prick,убождане/шип/угризение/бода
prick doun,обвързвам
prick up,наострям уши
prickafore,детска престилка
prickle,бодил
prickly,бодлив
pride,гордост/разцвет
priest,свещеник
prig,педант/формалист
prim,официален/превзет
primacy,първенство
primarily,първоначално/главно
primary,първоначален/главен
primary school,начално училище
prime,пръвичен/основен/начало
prime cost,себестойност
primemover,първопричина
primer,буквар
primeval,първоначален/първобитен
primitive,първобитен/примитивен
primrose,иглика
prince,принц
principal,главен/шеф/директор
principle,принцип/първоизточник
print,печат/отпечатък/снимка/печатам/щамповам
printer,печатар
printing office,печатница
prior,предварителен/предшестващ
priority,първенство/предимство
prison,затвор/затварям
prisoner,затворник/пленник
private,частен/личен/редник
privilege,привилегия/привилигировам
privy,таен/скрит/поверителен
privy to,посветен
prize,награда/премия/отличен/ценя
prizewinner,лауреат
probable,вероятен
probably,вероятно
probation,изпитание/стаж
probe,сонда/изследвам/проучвам
problem,проблем
proboscis,хобот
procedure,процедура
proceed,продължавам/напредвам/постъпвам
proceed to,преминавам
proceed with,давам ход
proceeding,постъпка/държане
proceeds,приход/постъпления
process,процес/развитие/преработвам
procession,шествие/процесия
proclaim,провъзгласявам/обявявам
proclivity to,склонност
procrastinate,отлагам/протакам
procure,придобивам/осигурявам
prodigal,разточителен/разточител
prodigious,изумителен
prodigy,чудо
produce,произвеждам/представям/добив
producer,производител/режисьор
product,произведение/продукт
production,производство/продукция
productive,производителен
productivity,производителност
profanation,ругатня
profane,светски/непросветен/непочтителен/ругателен
profanity,ругатня
profess,заявявам/претендирам/давам си вид/упражнявам
professed,неискрен
profession,професия
professional,професионален/специалист
professor,професор
professorship,професура
proffer,предлагам
proficiency,вещина/опитност
profit,печалба/полза/изгода/използвам
profitable,доходен/полезен
profiteer,спекулирам/спекулант
profligate,безпътен/разточителен/разюздан
profound,дълбок/задълбочен
profundity,дълбочина
profuse,разточителен/изобилен
profuse in,щедър
progenitor,прародител
progenitress,прародителка
progeny,потомство
programme,програма/програмирам
progress,напредване/напредък/напредвам
progressive,напредничав/прогресивен
prohibit,забранявам/преча
prohibition,забрана
prohibitive,недостъпен
project,проектирам/план/проект/обект
projection,проекция
prolific,плодороден/плодовит/изобилен
prolix,многословен/досаден
prolong,продължавам/удължавам
prominence,издаденост/изпъкналост/известност/забележителност
prominent,издаден/виден
promiscuous,смесен/безразборен/случаен
promise,обещание/обещавам/предричам
promising,обещаващ/надежден
promote,стимулирам/повишавам/подпомагам
promotion,повишение/промция
prompt,бърз/точен/подтиквам/подсказвам/напомняне/точно
prompt-box,суфльорска будка
prompter,суфльор
promptly,бързо
promptness,бързина/точност/готовност
promulgate,провъзгласявам
prong,бод(остър връх на вилица)
pronoun,местоимение
pronounce,произнасям(се)
pronounced,ясен/определен/подчертан
pronunciation,произношение
proof,доказателство/изпитание/твърд/устойчив
prop,подпора/опора/подпирам
propaganda,пропаганда/пропаганден
propagate,размножавам/разпространявам
proper,присъщ/подходяш/същински
proper pride,самоуважение
property,собственост/свойство
prophesy,пророкувам/предсказвам
prophet,пророк
propinquity,близост
propitiate,омилостивявам
propitiatory,омилостивителен
propitious,благосклонен/благоприятен
proportion,пропорция/част/съгласувам
proportionate,съразмерен
proposal,предложение
propose,предлагам/възнамерявам
proposition,предложение/изказване
propound,предлагам(за разглеждане)/поставям на разискване
proprietor,собственик
proprietress,собственица
propriety,уместност/благоприличие
propulsion,каране/бутане
prorogue,прекратявам(сесия)/отлагам
proscribe,заточвам/обявявам извън закона
prose,проза/прозаичен
prosecute,давам под съд/преследвам
prosecution,гонене/преследване/упражняване/практикуване/ищец
prosecutor,ищец
prospect,гледка/изглед/търся/изследвам
prospect for,търся
prospective,очакван/бъдещ
prospectus,каталог
prosper,процъфтявам/преуспявам
prosperity,благополучие/сполука
prostrate,проснат/прострян/изнурен
protect,пазя/закрилям
protection,покровителство/закрила
protective,защитен
protector,защитник
protest,протестирам/протест
prototype,прототип
protract,протакам/удължавам
protrude,издавам се/изпъквам
proud,горд/надменен/славен
prove,доказвам/оказвам се
proven,доказан
provender,фураж
proverb,пословица
proverbial,пословичен
provide,осигурявам/предвиждам
provide for,погрижвам се/вземам мерки за/осигурявам/обезпечавам
providence,провидение
provident,предвидлив
provider,доставчик
province,област/провинция
provincial,провинциален/провинциалист
provision,снабдяване/предвиждане/снабдявам
provisional,временен
proviso,условие/уговорка
provocation,предизвикателство
provoke,предизвиквам/провокирам
prowl,обикалям/дебна/дебнене
proximate,близък/непосредствен
proximity,близост
proxy,пълномощно
prudence,благоразумие
prudent,благоразумен
prune,сушена слива/морав/кастря
pry,назъртам
pry into,пъхам си носа
pry of,изкопчвам
pry out,изкопчвам
psychiatrist,психиатър
psychic,психичен
psychological,психологически
psychologist,психолог
psychology,психология
pub,кръчма
public,обществен/публичен/публика
public catering,обществено хранене
public house,кръчма/хан
public nuisance,досаден човек/нарушение(нарушител)на обществения ред
public opinion,обществено мнение
public utilities,комунални услуги
public works,обществени сгради
publican,кръчмар
publication,публикуване/публикация
publicity,гласност/реклама
publish,публикувам/издавам
publisher,издател
pudding,пудинг
puddle,локва/газя/цапам(се)
puerile,момчешки/детински
puff,пухтене/лъх/пухтя/духам
puffed up,надут
pugilism,бокс
pugnacious,свадлив
pull,дърпам/тегля/дърпане
pull about,отнасям се грубо с
pull down,смъквам/свалям/събарям
pull out,изтръгвам/издърпвам/отплувам
pull over,обръщам/събарям/обличам
pull round,съвземам се
pull the wires,дърпам конците
pull through,избутвам
pull up,издърпвам/спирам се
pullet,ярка
pulley,скрипец
pullover,пуловер
pulmonary,белодробен
pulp,каша/пулп/месо(на плод)/претопявам/правя на каша
pulsate,туптя/пулсирам
pulse,пулс/пулсирам/варива
pump,помпа/помпам
pumpkin,тиква
pun,каламбур/игра на думи
punch,удар/дупча/пунш
punctual,точен
punctuate,слагам препинателен знак/прекъсвам
puncture,спукване на гума/пункция/пуквам се
pungency,острота(за миризма)
pungent,лют
punish,наказвам
punishment,наказание/назначение
pup,кученце/кутре
pupil,зеница/ученик
puppet,марионетка/кукла/куклен
puppy,кученце
purchase,купувам/покупка
pure,чист
purely,чисто/изключително
purgation,прочистване
purgative,разслабителен/разслабително средство
purgatory,чистилище
purge,чистка/прочиствам
purification,прочистване
purify,прочиствам
purity,чистота
purple,лилав/морав
purpose,намерение/цел/предназначение/възнамерявам
purposefull,целеустремен
purposeless,безцелен
purposely,нарочно
purse,кесия/портмоне/свивам
pursue,преследвам/съпътствам/прилагам
pursuit,преследване/гонитба/занаят
pus,гной
push,бутам/тласкам/тласък/поддръжка
push the door to,блъскам вратата(и я затварям)
puss,котенце
pussy,писана/маца
put,слагам/поставям
put about,обръщам
put back,забавям/връщам
put by,слагам настрана
put down,поставям/слагам/записвам
put forth,проявявам
put forward,предлагам/излагам
